c65,c36,c69,c40,c63,c61,c37,c62,c57,c56,c47,c54,c53,c52,c51,c41,c71,c70,c73,c72,c75,c74,c59,c58,c19,c18,c39,c38,c13,c12,c11,c10,c17,c16,c15,c14,c44,c68,c42,c45,c55,c46,c50,c35,c9,c8,c76,c34,c3,c2,c1,c7,c6,c5,c4,c22,c23,c20,c21,c26,c27,c24,c25,c66,c31,c28,c29,c48,c49,c60,c30,c33,c67,c43,c32,c64
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
30%,35%,37%,35%,37%,32%,28%,30%,34%,30%,39%,100%,34%,42%,34%,26%,30%,30%,32%,33%,32%,32%,32%,31%,36%,33%,36%,31%,34%,45%,33%,30%,12%,31%,**,**,**,25%,33%,33%,44%,34%,23%,27%,31%,50%,4%,35%,30%,33%,33%,Yes,18%,59%,42%,34%,28%,38%,32%,33%,29%,36%,34%,34%,34%,37%,36%,32%,0%,100%,38%,30%,35%,35%,39%,32%,33%
69%,65%,62%,64%,62%,68%,71%,70%,65%,70%,61%,0%,65%,58%,65%,74%,70%,69%,67%,66%,68%,67%,67%,68%,63%,67%,64%,68%,65%,54%,66%,69%,88%,68%,**,**,**,74%,66%,66%,56%,66%,76%,73%,69%,49%,96%,64%,70%,67%,66%,No,81%,41%,57%,66%,71%,62%,67%,67%,71%,63%,66%,65%,65%,63%,64%,67%,100%,0%,61%,69%,65%,64%,60%,68%,67%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
7%,6%,12%,5%,7%,9%,8%,9%,11%,9%,11%,27%,13%,10%,9%,4%,13%,8%,8%,8%,7%,10%,9%,9%,7%,7%,12%,10%,14%,15%,16%,7%,1%,12%,**,**,**,25%,8%,8%,0%,5%,0%,0%,11%,15%,0%,9%,8%,8%,9%,Yes,2%,13%,17%,10%,5%,13%,3%,9%,6%,6%,11%,9%,9%,7%,6%,11%,0%,100%,8%,8%,9%,13%,4%,6%,9%
93%,94%,88%,95%,93%,91%,92%,91%,89%,91%,89%,73%,87%,90%,91%,96%,87%,92%,92%,92%,93%,90%,91%,91%,93%,93%,88%,90%,86%,85%,84%,93%,99%,88%,**,**,**,75%,92%,92%,100%,95%,100%,100%,89%,85%,100%,91%,92%,92%,91%,No,98%,87%,83%,90%,95%,87%,97%,91%,94%,94%,89%,91%,91%,93%,94%,89%,100%,0%,92%,92%,91%,87%,96%,94%,91%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
31%,35%,18%,31%,29%,20%,19%,25%,24%,16%,29%,20%,0%,0%,0%,100%,22%,32%,26%,29%,24%,27%,19%,15%,54%,27%,26%,24%,21%,12%,29%,29%,37%,20%,**,**,**,17%,27%,27%,30%,45%,33%,27%,14%,17%,42%,31%,22%,23%,26%,Protestant,34%,21%,13%,28%,31%,20%,28%,29%,31%,26%,23%,27%,24%,41%,37%,23%,29%,12%,38%,21%,24%,19%,29%,34%,25%
23%,26%,25%,26%,29%,24%,22%,24%,26%,19%,31%,24%,0%,0%,100%,0%,19%,16%,26%,24%,29%,22%,35%,28%,12%,27%,19%,22%,21%,44%,8%,22%,25%,14%,**,**,**,22%,24%,26%,26%,25%,19%,23%,16%,22%,26%,18%,25%,25%,23%,Catholic,25%,22%,22%,22%,26%,18%,31%,17%,26%,33%,20%,25%,23%,23%,24%,25%,23%,22%,22%,22%,25%,18%,28%,24%,23%
17%,19%,22%,17%,20%,19%,17%,20%,19%,13%,27%,25%,0%,100%,0%,0%,23%,21%,17%,18%,17%,18%,17%,17%,24%,18%,21%,21%,22%,15%,33%,18%,16%,26%,**,**,**,19%,20%,18%,19%,26%,22%,19%,23%,22%,14%,22%,14%,19%,20%,Other,17%,23%,22%,20%,16%,23%,18%,19%,17%,16%,22%,20%,20%,21%,19%,21%,17%,22%,23%,17%,19%,19%,17%,21%,20%
29%,20%,34%,26%,23%,37%,43%,31%,30%,53%,12%,32%,100%,0%,0%,0%,36%,31%,30%,30%,31%,32%,30%,39%,9%,28%,34%,32%,37%,29%,31%,31%,22%,40%,**,**,**,43%,30%,30%,24%,4%,26%,30%,47%,39%,19%,29%,38%,33%,31%,No Organized Religion,24%,35%,42%,30%,28%,39%,23%,34%,26%,25%,36%,29%,32%,16%,20%,31%,31%,44%,17%,39%,33%,44%,26%,21%,32%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
25%,31%,20%,29%,26%,19%,10%,21%,17%,0%,0%,22%,3%,28%,23%,38%,17%,23%,21%,23%,19%,20%,16%,13%,46%,23%,19%,18%,17%,21%,29%,20%,26%,15%,**,**,**,15%,23%,22%,27%,100%,20%,22%,12%,18%,31%,26%,15%,20%,21%,Regularly,22%,20%,16%,23%,22%,18%,29%,17%,27%,32%,15%,22%,21%,45%,31%,19%,21%,12%,42%,16%,19%,13%,28%,26%,21%
29%,30%,29%,26%,30%,25%,22%,29%,32%,0%,100%,33%,11%,39%,37%,33%,29%,27%,28%,27%,29%,28%,28%,25%,36%,29%,28%,30%,29%,32%,35%,26%,27%,24%,**,**,**,27%,28%,28%,28%,0%,29%,27%,22%,29%,21%,30%,21%,29%,28%,Occasionally,32%,29%,28%,27%,28%,25%,28%,25%,26%,28%,28%,31%,28%,28%,32%,29%,26%,35%,31%,25%,30%,25%,27%,33%,28%
44%,38%,48%,43%,41%,53%,66%,49%,49%,100%,0%,43%,80%,31%,38%,29%,51%,47%,49%,48%,49%,49%,52%,60%,17%,45%,50%,50%,51%,44%,34%,52%,45%,56%,**,**,**,54%,47%,48%,42%,0%,49%,48%,64%,50%,46%,42%,62%,48%,48%,Almost Never,45%,48%,51%,47%,49%,53%,42%,56%,45%,38%,53%,45%,49%,25%,36%,50%,50%,50%,26%,57%,49%,58%,43%,38%,49%
1%,1%,2%,2%,2%,3%,2%,1%,3%,0%,0%,3%,6%,2%,2%,0%,4%,3%,3%,3%,2%,3%,4%,3%,1%,2%,3%,2%,4%,3%,1%,3%,1%,5%,**,**,**,4%,2%,2%,2%,0%,2%,3%,1%,4%,1%,2%,2%,2%,3%,Not Sure,1%,2%,5%,3%,2%,4%,2%,3%,1%,2%,3%,2%,3%,3%,1%,2%,3%,4%,2%,3%,2%,5%,2%,2%,3%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
29%,39%,25%,25%,29%,21%,10%,21%,22%,9%,33%,28%,8%,32%,13%,55%,26%,33%,23%,23%,23%,25%,17%,0%,100%,25%,28%,26%,28%,22%,38%,25%,29%,25%,**,**,**,20%,27%,27%,30%,56%,27%,26%,14%,24%,27%,34%,17%,26%,26%,Yes,30%,27%,21%,26%,24%,23%,24%,27%,28%,29%,24%,27%,25%,50%,41%,21%,25%,21%,48%,19%,22%,18%,25%,36%,26%
65%,57%,70%,72%,65%,74%,86%,76%,71%,85%,60%,65%,86%,61%,82%,41%,67%,59%,72%,71%,74%,69%,79%,100%,0%,70%,66%,69%,63%,72%,57%,70%,68%,68%,**,**,**,73%,68%,69%,65%,41%,67%,68%,85%,69%,70%,60%,81%,70%,69%,No,66%,68%,71%,67%,72%,70%,72%,66%,68%,67%,70%,68%,70%,46%,54%,75%,71%,70%,47%,76%,71%,76%,71%,59%,69%
6%,5%,5%,3%,6%,5%,3%,3%,6%,5%,7%,7%,6%,7%,5%,4%,7%,7%,5%,6%,3%,6%,4%,0%,0%,5%,6%,5%,9%,6%,5%,5%,4%,7%,**,**,**,6%,5%,5%,5%,3%,5%,5%,1%,7%,4%,6%,2%,5%,5%,Not Sure,4%,5%,8%,6%,5%,7%,5%,6%,4%,4%,6%,5%,5%,4%,5%,4%,4%,9%,5%,5%,7%,6%,4%,4%,5%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
34%,49%,23%,26%,28%,24%,0%,13%,0%,16%,31%,33%,16%,34%,27%,42%,29%,36%,28%,26%,30%,30%,24%,19%,53%,29%,29%,28%,33%,24%,24%,31%,30%,31%,**,**,**,21%,30%,29%,33%,56%,30%,29%,9%,27%,29%,33%,10%,30%,28%,Strongly Pro-life,31%,30%,25%,27%,30%,25%,26%,33%,31%,35%,26%,30%,27%,69%,51%,15%,26%,26%,100%,24%,21%,19%,26%,45%,29%
30%,16%,37%,38%,34%,41%,100%,51%,0%,46%,26%,28%,45%,28%,31%,24%,31%,26%,34%,39%,30%,32%,38%,42%,13%,34%,33%,34%,26%,33%,30%,34%,33%,29%,**,**,**,38%,31%,34%,30%,15%,32%,33%,71%,34%,35%,27%,60%,29%,33%,Strongly Pro-choice,31%,32%,35%,37%,34%,37%,38%,33%,35%,24%,35%,32%,34%,9%,16%,50%,36%,30%,0%,31%,31%,48%,37%,18%,33%
32%,32%,32%,33%,34%,29%,0%,32%,100%,33%,36%,33%,31%,31%,36%,31%,31%,32%,33%,30%,35%,34%,32%,34%,28%,33%,33%,32%,32%,36%,33%,31%,33%,29%,**,**,**,33%,33%,32%,32%,26%,33%,32%,16%,32%,32%,34%,27%,35%,32%,In The Middle,33%,32%,32%,30%,33%,31%,32%,30%,30%,38%,32%,34%,33%,17%,30%,30%,32%,38%,0%,39%,43%,29%,34%,32%,32%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
15%,12%,13%,13%,100%,13%,11%,14%,12%,10%,12%,12%,8%,11%,14%,13%,6%,11%,10%,8%,12%,12%,16%,11%,12%,13%,11%,10%,11%,13%,9%,11%,12%,5%,**,**,**,10%,11%,13%,14%,14%,8%,11%,12%,11%,12%,7%,12%,12%,11%,Yes,12%,12%,10%,10%,12%,11%,13%,10%,13%,14%,9%,11%,10%,11%,10%,13%,11%,9%,11%,10%,13%,14%,18%,10%,0%
81%,88%,85%,86%,0%,84%,87%,85%,86%,88%,85%,86%,89%,86%,84%,86%,91%,87%,87%,89%,86%,87%,82%,88%,86%,85%,87%,88%,85%,83%,88%,88%,88%,92%,**,**,**,86%,88%,85%,85%,85%,91%,86%,86%,86%,88%,90%,86%,85%,87%,No,87%,87%,85%,88%,86%,87%,85%,88%,86%,84%,88%,87%,88%,87%,89%,85%,87%,88%,87%,87%,85%,84%,81%,88%,100%
3%,1%,2%,1%,0%,3%,2%,1%,2%,2%,3%,2%,3%,2%,2%,1%,3%,2%,2%,3%,2%,1%,2%,2%,2%,2%,2%,2%,4%,4%,3%,1%,1%,3%,**,**,**,4%,2%,2%,1%,1%,1%,2%,2%,3%,0%,2%,2%,2%,2%,Not Sure,1%,2%,5%,2%,1%,2%,2%,1%,2%,2%,3%,1%,1%,2%,1%,2%,2%,3%,1%,3%,2%,3%,2%,2%,0%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
100%,24%,14%,18%,25%,18%,17%,15%,18%,17%,19%,17%,17%,16%,18%,22%,14%,22%,19%,17%,21%,15%,16%,17%,21%,21%,17%,21%,15%,17%,18%,19%,23%,13%,**,**,**,13%,18%,22%,22%,22%,19%,19%,13%,15%,30%,22%,13%,21%,18%,Yes,18%,15%,15%,16%,21%,19%,21%,18%,23%,20%,15%,18%,0%,24%,22%,15%,19%,15%,22%,19%,18%,22%,21%,23%,17%
0%,76%,85%,81%,74%,81%,83%,85%,81%,82%,80%,82%,82%,83%,80%,77%,85%,77%,80%,82%,78%,84%,83%,82%,79%,78%,83%,78%,84%,82%,81%,80%,77%,85%,**,**,**,85%,81%,78%,77%,78%,80%,80%,86%,84%,70%,77%,86%,78%,81%,No,81%,84%,84%,84%,79%,80%,79%,81%,77%,79%,85%,81%,100%,76%,77%,84%,80%,84%,78%,80%,81%,77%,78%,76%,82%
